                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.055991,               0.035152,               0.036796,                      0,                0.96947,                0.99502,                0.99104,                0.76588,                 0.9273,                0.95102,                0.91129,                0.45367,               0.022441,               0.014704,                0.01124,                      0,                0.07003,                0.00333,                0.00333
                      1,               0.040045,               0.022336,               0.027177,                      0,                0.99454,                0.99567,                0.99438,                0.79393,                0.98803,                0.98916,                0.98915,                0.64236,               0.018008,               0.011683,               0.010289,                      0,                0.04001,              0.0066434,              0.0066434
                      2,               0.037084,               0.021105,               0.025771,                      0,                0.99371,                0.99241,                0.99438,                0.80592,                0.98741,                0.98597,                0.99297,                0.65892,               0.015968,               0.012197,               0.010183,                      0,              0.0099698,              0.0099367,              0.0099367
                      3,               0.034803,               0.021301,               0.026536,                      0,                 0.9918,                0.99627,                0.99445,                 0.8402,                0.98684,                0.99111,                0.99267,                0.68529,               0.015373,               0.011471,               0.010199,                      0,                0.00991,                0.00991,                0.00991
                      4,               0.031316,               0.021054,               0.025214,                      0,                0.99416,                0.99609,                0.99451,                0.83928,                0.99156,                0.99349,                0.99378,                0.70875,               0.015244,               0.011153,              0.0099447,                      0,                0.00991,                0.00991,                0.00991
                      5,                0.03037,               0.020205,               0.025151,                      0,                0.99629,                0.99632,                 0.9947,                0.86074,                0.99263,                0.99267,                0.99178,                0.71575,               0.013269,               0.010562,              0.0092404,                      0,                0.00988,                0.00988,                0.00988
                      6,               0.028384,               0.019283,               0.023941,                      0,                0.99611,                0.99772,                0.99454,                0.88166,                0.99416,                0.99572,                0.99352,                0.72381,               0.012497,               0.010574,              0.0088402,                      0,                0.00985,                0.00985,                0.00985
                      7,               0.027477,               0.018883,               0.023697,                      0,                0.99599,                0.99675,                0.99474,                 0.8761,                0.99447,                0.99523,                 0.9945,                0.73845,               0.012018,               0.010015,              0.0086354,                      0,                0.00982,                0.00982,                0.00982
                      8,               0.026285,               0.018319,               0.022352,                      0,                0.99649,                 0.9987,                0.99456,                0.88882,                0.99628,                0.99848,                0.99477,                0.74187,                0.01131,               0.010032,              0.0082998,                      0,                0.00979,                0.00979,                0.00979
                      9,               0.025759,               0.018168,                0.02245,                      0,                0.99723,                0.99848,                0.99444,                0.88961,                0.99745,                 0.9987,                0.99464,                0.74662,               0.010941,               0.009696,              0.0082586,                      0,                0.00976,                0.00976,                0.00976
                     10,                0.02469,               0.017903,               0.021262,                      0,                0.99632,                0.99769,                0.99489,                 0.8907,                0.99567,                0.99704,                0.99465,                0.75869,               0.010872,              0.0095656,               0.008134,                      0,                0.00973,                0.00973,                0.00973
                     11,               0.024033,               0.017721,               0.021402,                      0,                0.99762,                0.99867,                0.99482,                0.90915,                0.99697,                0.99802,                0.99483,                0.75583,               0.010297,              0.0096084,               0.007743,                      0,                 0.0097,                 0.0097,                 0.0097
                     12,                0.02337,               0.017154,                0.02081,                      0,                0.99783,                0.99846,                0.99483,                0.90949,                 0.9974,                0.99783,                0.99484,                0.77094,               0.010177,              0.0098739,              0.0078407,                      0,                0.00967,                0.00967,                0.00967
                     13,                0.02285,               0.017015,               0.020721,                      0,                0.99779,                0.99783,                0.99487,                0.91573,                0.99758,                0.99762,                0.99477,                0.77261,              0.0096619,              0.0091847,              0.0074625,                      0,                0.00964,                0.00964,                0.00964
                     14,               0.022003,               0.016926,               0.020347,                      0,                0.99719,                0.99858,                0.99486,                0.91663,                0.99719,                0.99858,                0.99491,                0.77522,               0.009513,              0.0092484,              0.0074414,                      0,                0.00961,                0.00961,                0.00961
                     15,               0.021669,               0.016647,               0.019993,                      0,                0.99711,                0.99827,                0.99474,                0.92125,                0.99732,                0.99848,                0.99486,                0.78108,              0.0093247,              0.0089666,              0.0072982,                      0,                0.00958,                0.00958,                0.00958
                     16,               0.021323,               0.016482,               0.019913,                      0,                0.99856,                0.99827,                0.99488,                0.92608,                0.99835,                0.99805,                0.99466,                0.77424,              0.0088561,               0.008974,              0.0071027,                      0,                0.00955,                0.00955,                0.00955
                     17,               0.021165,               0.016328,               0.019704,                      0,                 0.9974,                0.99915,                0.99477,                0.92748,                 0.9974,                0.99915,                0.99482,                0.78361,              0.0088036,              0.0088285,               0.007022,                      0,                0.00952,                0.00952,                0.00952
                     18,               0.020352,               0.016022,               0.018703,                      0,                  0.998,                0.99848,                0.99486,                0.93161,                0.99822,                 0.9987,                0.99491,                0.78579,               0.008771,              0.0088305,              0.0069656,                      0,                0.00949,                0.00949,                0.00949
                     19,               0.020503,               0.016129,               0.019102,                      0,                0.99831,                0.99827,                0.99483,                0.93034,                 0.9981,                0.99805,                0.99487,                0.79177,              0.0086662,              0.0088682,               0.007014,                      0,                0.00946,                0.00946,                0.00946
                     20,               0.019793,               0.016037,               0.018948,                      0,                0.99827,                0.99769,                0.99487,                0.93437,                0.99848,                0.99791,                0.99488,                0.79081,              0.0083833,              0.0087024,               0.006797,                      0,                0.00943,                0.00943,                0.00943
                     21,               0.019896,               0.015992,               0.018944,                      0,                0.99848,                0.99791,                0.99488,                0.93549,                 0.9987,                0.99813,                0.99489,                0.78782,              0.0083306,              0.0085097,              0.0067257,                      0,                 0.0094,                 0.0094,                 0.0094
                     22,               0.020101,               0.015677,               0.018855,                      0,                0.99814,                0.99848,                0.99484,                0.93658,                0.99836,                 0.9987,                0.99487,                0.79575,              0.0081446,               0.008454,              0.0066682,                      0,                0.00937,                0.00937,                0.00937
                     23,               0.019641,                0.01566,               0.018255,                      0,                0.99783,                0.99861,                0.99488,                0.93795,                0.99805,                0.99883,                0.99496,                0.79579,              0.0080585,              0.0083988,              0.0066575,                      0,                0.00934,                0.00934,                0.00934
                     24,               0.019648,               0.015623,               0.018554,                      0,                0.99848,                0.99811,                0.99493,                0.94039,                 0.9987,                0.99832,                0.99495,                 0.7977,              0.0079889,              0.0084133,              0.0064898,                      0,                0.00931,                0.00931,                0.00931
                     25,               0.019352,               0.015805,               0.018319,                      0,                0.99854,                0.99827,                0.99481,                0.94385,                0.99854,                0.99827,                0.99482,                 0.7979,              0.0079272,              0.0082968,              0.0065251,                      0,                0.00928,                0.00928,                0.00928
