                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,               0.084974,               0.059243,                  0.067,                      0,                0.71768,                0.79259,                0.82319,                 0.3649,                0.57882,                0.62775,                0.55786,                0.21006,               0.047904,               0.021575,               0.029834,                      0,               0.070214,              0.0033095,              0.0033095
                      1,               0.066593,               0.032446,               0.056822,                      0,                0.52748,                0.86008,                0.69377,                0.26104,                0.48229,                0.77202,                0.57605,                0.19769,               0.052036,               0.019387,               0.026104,                      0,               0.040129,              0.0065574,              0.0065574
                      2,               0.062888,               0.031265,               0.052597,                      0,                0.70375,                0.88477,                0.87227,                0.53741,                0.67976,                0.84557,                0.80342,                0.38538,               0.036082,               0.019175,               0.025933,                      0,              0.0099578,              0.0097197,              0.0097197
                      3,                0.05516,               0.028065,               0.048114,                      0,                0.85314,                0.89465,                0.94343,                0.52928,                0.81174,                0.85528,                0.88096,                0.44497,               0.034204,               0.015986,               0.023828,                      0,              0.0096143,              0.0096143,              0.0096143
                      4,               0.047748,               0.026199,               0.049849,                      0,                0.94536,                0.96827,                0.98604,                0.74619,                0.92605,                0.94823,                0.95483,                0.59255,               0.025002,               0.014701,               0.022291,                      0,              0.0096143,              0.0096143,              0.0096143
                      5,               0.044516,               0.025201,               0.045607,                      0,                0.99105,                0.97695,                0.99272,                0.72245,                0.97572,                0.95928,                0.96448,                0.60498,               0.022581,               0.014195,               0.021831,                      0,              0.0094857,              0.0094857,              0.0094857
                      6,               0.041698,               0.024401,               0.044686,                      0,                0.98223,                0.97613,                0.98991,                0.70467,                0.95946,                0.95473,                 0.9563,                0.58208,               0.028455,               0.013948,               0.022323,                      0,              0.0093571,              0.0093571,              0.0093571
                      7,               0.040202,               0.023156,               0.043554,                      0,                0.99504,                0.98683,                0.99455,                0.71582,                0.98505,                0.97588,                0.98471,                0.64225,               0.021964,               0.012592,               0.021308,                      0,              0.0092286,              0.0092286,              0.0092286
                      8,               0.038793,                0.02315,               0.043471,                      0,                0.99421,                0.98519,                0.99423,                0.78519,                0.98918,                0.97825,                0.98198,                0.67148,               0.022054,               0.012608,               0.020716,                      0,                 0.0091,                 0.0091,                 0.0091
                      9,               0.038168,               0.022762,               0.042718,                      0,                0.98849,                0.98973,                0.99382,                0.74767,                0.97769,                0.97366,                0.97913,                0.68221,               0.025649,               0.012454,               0.021471,                      0,              0.0089714,              0.0089714,              0.0089714
                     10,               0.035672,               0.022018,               0.040685,                      0,                0.99335,                0.98421,                0.99335,                0.80393,                0.98016,                0.96626,                0.97139,                0.67596,               0.019622,               0.011844,               0.020215,                      0,              0.0088429,              0.0088429,              0.0088429
                     11,               0.035594,               0.022146,               0.043453,                      0,                0.99419,                0.98573,                0.99384,                 0.7186,                0.98989,                0.97531,                0.98365,                 0.6664,               0.025784,               0.011893,               0.020838,                      0,              0.0087143,              0.0087143,              0.0087143
                     12,               0.033772,               0.022218,               0.040889,                      0,                0.98617,                0.98354,                0.99303,                0.78087,                0.98259,                0.97202,                0.98064,                0.68998,               0.019809,               0.013375,               0.020321,                      0,              0.0085857,              0.0085857,              0.0085857
                     13,               0.035001,                0.02138,                0.04253,                      0,                0.99091,                0.98698,                0.99346,                0.78784,                 0.9868,                0.98189,                0.98427,                0.69976,                0.01903,               0.010878,                0.01934,                      0,              0.0084571,              0.0084571,              0.0084571
                     14,               0.033423,               0.021181,               0.039999,                      0,                0.99645,                0.98519,                0.99326,                0.82896,                0.99131,                 0.9786,                0.98397,                0.73216,               0.017727,                0.01192,               0.019053,                      0,              0.0083286,              0.0083286,              0.0083286
                     15,               0.032485,               0.021137,               0.040525,                      0,                0.99485,                0.98519,                0.99351,                 0.7547,                0.99104,                0.97778,                0.98664,                0.69739,               0.020426,               0.010685,               0.019314,                      0,                 0.0082,                 0.0082,                 0.0082
                     16,               0.032061,               0.020715,               0.039058,                      0,                0.99205,                0.98848,                0.99374,                0.79935,                0.99516,                0.97366,                0.98515,                 0.7211,               0.017789,               0.010856,               0.018699,                      0,              0.0080714,              0.0080714,              0.0080714
                     17,               0.031281,               0.020274,               0.039399,                      0,                0.99245,                0.98848,                0.99341,                0.82917,                0.98832,                0.98436,                0.98826,                0.73829,                0.01762,               0.010987,               0.019136,                      0,              0.0079429,              0.0079429,              0.0079429
                     18,               0.029972,               0.020472,               0.043291,                      0,                0.99033,                0.98765,                0.99392,                0.82601,                0.98649,                0.97778,                0.98727,                0.75555,               0.016497,               0.010464,               0.018195,                      0,              0.0078143,              0.0078143,              0.0078143
